gps_disponible,nombre,tipo,ubicacion,url
True,Costa Ballena Ocean Golf Club,Palmeras,"Costa Ballena, Spain",showcourse.php?cid=1259690115955_2_2
True,Costa Ballena Ocean Golf Club,Ficus,"Costa Ballena, Spain",showcourse.php?cid=1259690115955_3_3
True,Costa Ballena Ocean Golf Club,Olivos + Palmeras,"Costa Ballena, Spain",showcourse.php?cid=1259690115955_1_2
True,Costa Ballena Ocean Golf Club,Olivos + Ficus,"Costa Ballena, Spain",showcourse.php?cid=1259690115955_1_3
True,Costa Ballena Ocean Golf Club,Palmeras + Ficus,"Costa Ballena, Spain",showcourse.php?cid=1259690115955_2_3
True,Costa Ballena Ocean Golf Club,Par 3,"Costa Ballena, Spain",showcourse.php?cid=153996288277349
True,Costa Teguise,18-hole course,"Costa Teguise, Lanzarote - Canary Isles ?? , Spain",showcourse.php?cid=1230312843481
True,CUENCA GOLF CLUB,9-hole course,"Villar de Olalla, Cuenca, Spain",showcourse.php?cid=1724428101975484
True,CUENCA GOLF CLUB,Villar de Olalla Cuenca,"Villar de Olalla, Cuenca, Spain",showcourse.php?cid=1362952576493
True,Dehesa Montenmedio,18-hole course,"Vejer de la Frontera, AN, Spain",showcourse.php?cid=1341489159689
True,Desert Springs Golf Club,Indiana,"Cuevas del Almanzora, Almería, AN, Spain",showcourse.php?cid=151329517631501
True,Deva Golf,Deva Golf,"Gijón , Ast, Spain",showcourse.php?cid=1451680373382468
True,Don Tello Golf,Don Tello-AMS,"Mérida, Ext, Spain",showcourse.php?cid=1361434554498
True,Dona Julia Golf Club,18-hole course,"Casares, AN, Spain",showcourse.php?cid=1237242164620
True,El Bonillo,El Bonillo,"El Bonillo - Albacete, Spain",showcourse.php?cid=1288570297147
True,El Bosque Golf Club,18-hole course,"Chiva, Valencia, Spain",showcourse.php?cid=1118834650281
True,El Campanario,9-hole course,"Estepona, MAL, Spain",showcourse.php?cid=1519387177417302
True,El cortijo club de campo,cortijo,"Telde, Spain",showcourse.php?cid=1325151293445574
True,El cortijo club de campo,El cortijo,"Telde, Spain",showcourse.php?cid=1324839055156
True,El Cortijo Grande,2x9 hole-2013,"04639 Almeria, Spain",showcourse.php?cid=1372318221255248
True,El Encin Golf,18-hole course,"Alcalá de Henares, Mad, Spain",showcourse.php?cid=1306957420649
True,El Encin Golf,9 Hoyos cortos,"Alcalá de Henares, Mad, Spain",showcourse.php?cid=1572858339744174
True,El Fresnillo,Ávila,"Avila, Spain",showcourse.php?cid=1211460904970
True,El Hidalgo Club de Golf,Abedul Golf Pitch & Putt,"ALCAZAR DE SAN JUAN, CLM, Spain",showcourse.php?cid=1380112808674235
True,El Higueral Golf,9-holes,"Benahavís, AN, Spain",showcourse.php?cid=1372106467344981
True,El Paraíso Golf,18-hole course,"Estepona, AN, Spain",showcourse.php?cid=1175355690068
True,El Pilar - Sarria,no courses added,"Sarria, Spain",newcourseform.php?clid=1637126275382754
True,El Plantío Golf Resort,18-hole course,"Alacant, VC, Spain",showcourse.php?cid=1128780081426
True,El Plantío Golf Resort,El Plantio 9 holes,"Alacant, VC, Spain",showcourse.php?cid=1287744836775
True,El renachal,18-hole course,"Moya, Cuenca, Spain",showcourse.php?cid=1670483240713075
True,El Robledal,18 Hoyos,"Madrid, M, Spain",showcourse.php?cid=1223309480324
True,El Rompid,18-hole course,"Huelva, Spain",showcourse.php?cid=1127546204500
True,El Saler,18-hole course,"El Saler, Valencia, Spain",showcourse.php?cid=1118836513781
True,EL tamujar,18-hole course,Spain,showcourse.php?cid=1110578321240
True,El Valle Golf,18-hole course,"Murcia, Spain",showcourse.php?cid=1347217346324682
True,El Vallès Golf,Pitch & Putt,"Terrassa, Barcelona, Spain",showcourse.php?cid=1543651577295112
True,Empordà Golf,Forest,"Gualta, CT, Spain",showcourse.php?cid=1145385230390
True,Empordà Golf,Links,"Gualta, CT, Spain",showcourse.php?cid=1205009311600
True,Equelite Golf Villena,EqueliteGolfVillena,"Villena, Spain",showcourse.php?cid=136976375629596
True,Escalona,Largo,"Escalona (Toledo), Spain",showcourse.php?cid=1272917589476
True,Escalona,largo + par 3,"Escalona (Toledo), Spain",showcourse.php?cid=1274198093272
True,Escalona,par 3,"Escalona (Toledo), Spain",showcourse.php?cid=1272918556616
True,Escuela de Golf Castilla y León,Renedo,"Valladolid, VA, Spain",showcourse.php?cid=1384114275184327
True,Escuela de Golf de Castilla y León,18-hole course,"Valladolid, Spain",showcourse.php?cid=1675448302792233
True,Escuela de Golf Elche,El Misteri,"Elx, Alicante, Spain",showcourse.php?cid=1733856075679595
True,Escuela de Golf Elche,El Palmeral,"Elx, Alicante, Spain",showcourse.php?cid=1761691131344764
True,Escuela golf Castilla y León,18-hole course,"Valladolid, Spain",showcourse.php?cid=1675236348746330
True,Estepona Golf,18-hole course,"Estepona, AN, Spain",showcourse.php?cid=1111482919623
True,Fairplay Golf & Spa Resort,18-hole course,"Benalup-Casas Viejas, AN, Spain",showcourse.php?cid=1241778629042
True,Federación de Golf de Madrid,Federación de Golf de Madrid,"MADRID, Spain",showcourse.php?cid=1315548335467
True,Finca Cortesin,18-hole course,"Casares, Mál, Spain",showcourse.php?cid=1341488999580
True,Font del Llop Golf Resort,18-hole course,"Monforte del Cid, VC, Spain",showcourse.php?cid=1473961464314044
